GeneSet	DESC	GeneSet,Genes
ABI3	ABI3	ABI3,ABI3BP,CYFIP1,NCKAP1,NCKAP1L,BRK1,WASF2,WASF1,CYFIP2,WASF3,ABI2
ABI3BP	ABI3BP	ABI3BP,ABI3,ABI1,FXYD2,AP5B1,TMEM51,CCDC80,MAMDC2,NDUFAF6,SCARB2,AZI2
ABL1	ABL1	ABL1,GRB2,CRK,ABI1,CRKL,RIN1,CBL,BCR,SHC1,ATM,HSP90AA1
ABL2	ABL2	ABL2,CRK,RIN1,ABL1,CRKL,RAC3,RAC2,ETV6,EGFR,CTTN,ABI2
ABLIM1	ABLIM1	ABLIM1,ABLIM3,CDC42,RAC2,RAC3,ABRA,SRF,FSCN1,KCNJ12,DCC,NTN1
ABLIM2	ABLIM2	ABLIM2,ABRA,SRF,ASXL2,NTN1,KDM1B,DCC,TRIO,AFAP1,REST,RAC1
ABLIM3	ABLIM3	ABLIM3,ABRA,ABLIM1,CDC42,RAC2,RAC3,SRF,NTN1,TRIO,DCC,AFAP1L1
ABO	ABO	ABO,FUT1,FUT2,FUT3,FUT5,FUT6,FUT9,FUT4,FOXK1,PTK2,DAB2
ABR	ABR	ABR,RHOA,CDC42,RAC2,RHOB,RHOC,RAC1,RAC3,DPEP1,TIAM1,ARHGEF1
ABRA	ABRA	ABRA,ABLIM3,ABLIM2,ABLIM1,SRF,LMOD2,MYOZ2,PRDX3,XIRP2,TMOD3,XIRP1
ABRACL	ABRACL	ABRACL,SMIM18,TTC9B,IRGQ,LRFN3,SBK1,MEF2C,NBPF14,TULP2,ABRA,PKNOX2
ABRAXAS1	ABRAXAS1	ABRAXAS1,UIMC1,BARD1,BABAM1,BRCA1,BABAM2,MDC1,RBBP8,RNF8,MRE11,CHEK2
ABRAXAS2	ABRAXAS2	ABRAXAS2,SHMT2,BABAM2,BABAM1,UIMC1,USP7,BRCA1,TP53,PSMD14,THAP5,NLRP3
ABT1	ABT1	ABT1,DDX49,RRP36,ESF1,DDX10,BYSL,KRR1,DHX15,NOP14,UTP6,UTP18
ABTB1	ABTB1	ABTB1,CUL3,EEF1A2,EEF1D,ANK1,ANK2,YPEL3,ANK3,DNTTIP1,ADPRHL1,CARD19
ABTB2	ABTB2	ABTB2,DEPDC7,IFT46,CUL3,TTC30B,LRRC42,CKAP5,TCP11L1,C11orf91,CTXN2,ATP8B4
ACAA1	ACAA1	ACAA1,HSD17B4,EHHADH,ACOX1,HADHA,PEX7,ACOX3,ACADS,ACADSB,HMGCS2,HMGCS1
ACAA2	ACAA2	ACAA2,HADHA,HMGCS2,HMGCS1,EHHADH,ACOX1,ECI2,ACOX3,ACADVL,ACADS,ACADL
ACACA	ACACA	ACACA,FASN,BRCA1,ACLY,PRKAA1,SREBF1,MCAT,ACSS2,MLYCD,ACACB,ACAT1
ACACB	ACACB	ACACB,FASN,CPT1A,ACLY,MCAT,ACACA,ACSS2,MLYCD,CPT1B,ACAT1,CPT1C
ACAD10	ACAD10	ACAD10,MRI1,HSDL2,HADH,ALDH2,ECI2,CRYL1,HECTD4,ILVBL,TMEM116,HACL1
ACAD11	ACAD11	ACAD11,UBXN7,NSFL1C,LSG1,MRI1,HSDL2,ECI2,HADH,HSD17B4,CRYL1,HACL1
ACAD8	ACAD8	ACAD8,ECHS1,HADHA,EHHADH,ACADSB,DBT,ACADS,ETFA,ECI2,ETFB,ACAA2
ACAD9	ACAD9	ACAD9,TMEM126B,NDUFAF1,ECSIT,TIMMDC1,NDUFAF3,NDUFS3,NDUFS2,NDUFS7,NDUFA13,NDUFS5
ACADL	ACADL	ACADL,HADHB,HADHA,CPT2,ACAA2,ACAA1,EHHADH,ECHS1,ACOX1,ACOX3,ACADVL
ACADM	ACADM	ACADM,ETFA,ETFB,ACAA2,HADHA,ECI2,HADH,HADHB,ECHS1,PPARA,CPT2
ACADS	ACADS	ACADS,ECHS1,ACAA1,HADHA,HADHB,EHHADH,ECHDC1,ACAA2,ACAT1,PCCB,ACSM3
ACADSB	ACADSB	ACADSB,ECHS1,ACAA1,HADHA,HADHB,EHHADH,ACAA2,ACAT1,ACAT2,ACAD8,DBT
ACADVL	ACADVL	ACADVL,HADHA,CPT2,HADHB,ACAA2,ECHS1,ACAA1,EHHADH,ACOX1,ACADL,ACOX3
ACAN	ACAN	ACAN,FN1,PTPRZ1,BCAN,VCAN,HAPLN1,ADAMTS4,COMP,ADAMTS5,NCAN,DCN
ACAP1	ACAP1	ACAP1,ARF6,ARF5,ARF1,RAB35,GULP1,PLEK,TBC1D10C,ANK3,PLEK2,RASA1
ACAP2	ACAP2	ACAP2,RAB35,ARF6,ARF5,ARF1,ACAP3,PLEK,TBC1D10A,ASAP1,RUSC2,PLEK2
ACAP3	ACAP3	ACAP3,RAB35,SCNN1D,UBE2J2,ACAP2,PUSL1,ZNF316,MZF1,KIFC2,SH3GLB2,PPP1R12C
ACAT1	ACAT1	ACAT1,HMGCS1,HMGCS2,HADHA,OXCT1,OXCT2,ECI2,EHHADH,CS,HMGCL,ACOX1
ACAT2	ACAT2	ACAT2,HMGCS1,HMGCS2,ECI2,EHHADH,HADHA,OXCT1,OXCT2,CS,ACOX1,ACADSB
ACBD3	ACBD3	ACBD3,GOLGB1,PI4KB,TSPO,VDAC1,BLZF1,DBI,TBC1D22A,GOLGA3,BPNT1,SLC11A2
ACBD4	ACBD4	ACBD4,VAPB,VAPA,GCDH,ACOX1,ACAA1,ACAA2,ACOX3,ACADS,ACOX2,ACADVL
ACBD5	ACBD5	ACBD5,VAPB,VAPA,PEX16,PEX3,PEX11B,PEX14,ABCD3,PEX13,PXMP2,PEX19
ACBD6	ACBD6	ACBD6,NMT2,NMT1,ZNF23,ACBD3,NTPCR,TMEM184C,TMEM53,ASPHD2,ACAD9,ACAD8
ACBD7	ACBD7	ACBD7,ACOX1,ACBD5,CARTPT,ACOX3,ACAA1,ACAT1,ACAT2,ACOXL,ACAD9,ACOX2
ACCS	ACCS	ACCS,EXT2,FLCN,FBF1,ADI1,GNPDA1,KYNU,GRHPR,ALDH18A1,SDHA,FH
ACCSL	ACCSL	ACCSL,EXT2,FLCN,ADI1,KYNU,GRHPR,ALDH18A1,SDHA,FH,AZIN1,TDO2
ACD	ACD	ACD,TERF1,TERF2IP,TINF2,TERF2,POT1,TERT,STN1,CTC1,TEN1,XRCC6
ACE	ACE	ACE,AGT,KNG1,REN,AGTR1,BDKRB2,ALB,NR3C2,MMEL1,MME,CRP
ACER1	ACER1	ACER1,ASAH2,ASAH1,CERK,SPHK2,SPHK1,CERS4,CERS3,CERS6,UGCG,CERS2
ACER2	ACER2	ACER2,ASAH2,ASAH1,SPHK2,CERK,SPHK1,CERS6,CERS2,CERS4,SGMS1,CERS3
ACER3	ACER3	ACER3,ASAH2,ASAH1,SPHK1,SPHK2,CERS6,CERS2,CERS3,CERS5,CERS4,DEGS1
ACHE	ACHE	ACHE,COLQ,APP,CHAT,GPCPD1,CHKA,CHKB,PHOSPHO1,HSPG2,DOK7,MUSK
ACIN1	ACIN1	ACIN1,SAP18,RNPS1,PNN,EIF4A3,MAGOH,SRRM2,ALYREF,SRRM1,CASP3,PRPF40A
ACKR1	ACKR1	ACKR1,CXCL8,TNFRSF14,NECTIN1,CCL2,CCL5,CXCL1,NECTIN2,CD82,CXCL5,TNFSF14
ACKR2	ACKR2	ACKR2,CCL25,CCL27,MADCAM1,CCL21,CCL17,CCL2,CCL5,CCL3,CCL22,CCL19
ACKR3	ACKR3	ACKR3,CXCL12,CXCL11,CXCR4,ARRB2,CCL21,ARRB1,ADM,CXCL10,CXCL9,EGFR
ACKR4	ACKR4	ACKR4,CCL25,CCL21,CCL19,CCL27,CXCL13,CCL8,CCL17,CCL13,CCR7,CCL1
ACLY	ACLY	ACLY,CS,FASN,SUCLG1,DLAT,ACACA,ACO2,ACO1,MDH2,PC,ACACB
ACMSD	ACMSD	ACMSD,HAAO,ALDH8A1,SENP8,KYNU,KMO,QPRT,MLYCD,TDO2,MCCC1,CCDC62
ACO1	ACO1	ACO1,CS,IDH2,IDH1,ACLY,IDH3A,IDH3B,FXN,FBXL5,ACO2,NFS1
ACO2	ACO2	ACO2,CS,IDH2,IDH3A,IDH1,IDH3B,ACLY,FXN,SDHA,SOD2,OGDH
ACOD1	ACOD1	ACOD1,GOT2,CXCL10,IFIT1,GTPBP3,GLDC,AMT,PDPR,DMGDH,SARDH,ACO2
ACOT1	ACOT1	ACOT1,ACOT7,ACOT2,ACOT8,THEM5,THEM4,FBP2,PFKM,TECR,PFKL,ACOT4
