GeneSet	DESC	GeneSet,Genes
UFSP2	UFSP2	UFSP2,UFM1,DDRGK1,UBA5,UFL1,UFC1,CDK5RAP3,TRIP4,ZMYM4,RPL26,C4orf47
UGCG	UGCG	UGCG,GBA,B4GALT6,CERK,GBA2,SMPD2,CERS6,DEGS1,ASAH1,CERS2,SMPD1
UGDH	UGDH	UGDH,UXS1,UGP2,GALE,UGT1A1,TGDS,UGT1A6,UGT1A8,UGT1A7,UGT1A10,UGT1A4
UGGT1	UGGT1	UGGT1,HSP90B1,CANX,GXYLT1,UGGT2,GXYLT2,MOGS,EDEM1,CALR,PDIA4,GANAB
UGGT2	UGGT2	UGGT2,UGGT1,CANX,OS9,MOGS,CALR,GANAB,EDEM1,ERLEC1,PDIA4,HSPA5
UGP2	UGP2	UGP2,GALE,PYGL,PGM1,PYGB,PYGM,GALT,UGDH,PGM2,GYS1,GYS2
UGT1A1	UGT1A1	UGT1A1,UGT1A3,UGT1A9,UGT1A6,UGT1A8,UGT1A10,UGT1A7,CYP3A4,UGT1A4,CYP1A1,CYP2D6
UGT1A10	UGT1A10	UGT1A10,UGT1A1,UGT1A8,UGT1A3,UGT1A9,UGT1A6,UGT1A7,UGT1A4,CYP3A4,CYP1A1,CYP2D6
UGT1A3	UGT1A3	UGT1A3,UGT1A9,UGT1A6,UGT1A1,UGT1A8,UGT1A4,UGT1A7,UGT1A10,CYP3A4,CYP2D6,CYP1A1
UGT1A4	UGT1A4	UGT1A4,UGT1A3,UGT1A9,UGT1A6,UGT1A8,UGT1A10,UGT1A7,UGT1A1,CYP3A4,CYP1A1,CYP2D6
UGT1A5	UGT1A5	UGT1A5,CYP3A4,CYP2D6,CYP1A1,CYP2E1,CYP2A6,CYP3A5,GUSB,AOX1,UGDH,CYP1B1
UGT1A6	UGT1A6	UGT1A6,UGT1A9,UGT1A3,UGT1A1,UGT1A8,UGT1A4,UGT1A10,CYP3A4,UGT1A7,CYP1A1,CYP2D6
UGT1A7	UGT1A7	UGT1A7,UGT1A6,UGT1A1,UGT1A10,UGT1A4,UGT1A8,UGT1A3,UGT1A9,CYP3A4,CYP1A1,CYP2D6
UGT1A8	UGT1A8	UGT1A8,UGT1A6,UGT1A3,UGT1A9,UGT1A1,UGT1A10,UGT1A7,UGT1A4,CYP3A4,CYP1A1,CYP2D6
UGT1A9	UGT1A9	UGT1A9,UGT1A3,UGT1A1,UGT1A6,UGT1A8,UGT1A4,UGT1A7,UGT1A10,CYP3A4,CYP2D6,CYP3A5
UGT2A1	UGT2A1	UGT2A1,B3GAT2,GNAL,OR1D2,TSTA3,UGT2B15,OR10J5,ADCY3,OR6C76,OR2T29,OR51E2
UGT2A2	UGT2A2	UGT2A2,CYP3A4,CYP2D6,CYP1A1,CYP2A6,CYP2E1,CYP3A5,GUSB,UGDH,CYP2A13,AOX1
UGT2A3	UGT2A3	UGT2A3,CYP3A4,CYP2D6,CYP1A1,CYP2A6,CYP2E1,CYP3A5,GUSB,UGDH,AOX1,CYP2A13
UGT2B10	UGT2B10	UGT2B10,CYP3A4,CYP2A6,CYP2D6,CYP1A1,CYP3A5,CYP2E1,AOX1,GUSB,CYP2A13,UGDH
UGT2B11	UGT2B11	UGT2B11,CYP3A4,CYP2D6,CYP1A1,CYP2A6,CYP2E1,CYP3A5,GUSB,CYP2A13,UGDH,AOX1
UGT2B15	UGT2B15	UGT2B15,CYP3A4,CYP2D6,CYP3A5,CYP2A6,CYP2E1,CYP1A1,AKR1C2,AKR1C3,AKR1C1,GUSB
UGT2B17	UGT2B17	UGT2B17,CYP3A4,CYP2D6,CYP2A6,CYP3A5,CYP1A1,CYP2E1,GUSB,CYP2A13,UGDH,AKR1C3
UGT2B28	UGT2B28	UGT2B28,CYP3A4,CYP2D6,CYP2A6,CYP1A1,CYP3A5,CYP2E1,GUSB,AOX1,CYP2A13,UGDH
UGT2B4	UGT2B4	UGT2B4,CYP3A4,CYP2D6,CYP1A1,CYP2A6,CYP2E1,CYP3A5,GUSB,SULT1E1,CYP2A13,AOX1
UGT2B7	UGT2B7	UGT2B7,CYP3A4,CYP2D6,CYP3A5,CYP2A6,CYP2E1,CYP1A1,SULT1E1,GUSB,CYP1B1,AOX1
UGT3A1	UGT3A1	UGT3A1,EXT2,SLCO1A2,CWC25,ACOT12,PGM2,RUBCNL,C1orf109,LIX1,NAT2,UGT3A2
UGT3A2	UGT3A2	UGT3A2,SLCO1A2,CWC25,PGM2,RUBCNL,C1orf109,LIX1,NAT2,UGT3A1,CALHM2,ALG11
UGT8	UGT8	UGT8,UGCG,GALC,GAL3ST1,CERK,ARSA,CERS2,ASAH1,SGPP1,SMPD2,CERS4
UHMK1	UHMK1	UHMK1,STMN1,CDKN1B,KCNIP4,KCNIP2,KCNIP1,KCND3,KCNIP3,KCNC1,PRPF40A,SF3B1
UHRF1	UHRF1	UHRF1,DNMT1,USP7,EHMT2,HDAC1,LIG1,DNMT3B,DNMT3A,KAT5,TRIM28,UBE2D1
UHRF1BP1	UHRF1BP1	UHRF1BP1,PHRF1,UHRF1,SCUBE3,ANKS1A,PXK,TNIP1,UBAP2,JAZF1,UBE2L3,COBLL1
UHRF1BP1L	UHRF1BP1L	UHRF1BP1L,STX6,GPATCH2L,RND2,PRR36,DMXL1,ZNF407,VPS13C,ZNF829,PTPRH,DEPDC4
UHRF2	UHRF2	UHRF2,PCNA,DNMT1,HDAC1,PCNP,RB1,DNMT3A,DNMT3B,TP53,ZNF131,UBE2D1
UIMC1	UIMC1	UIMC1,BARD1,BABAM2,BRCA1,BABAM1,ABRAXAS1,MDC1,UBC,SUMO2,TP53BP1,RNF8
ULBP1	ULBP1	ULBP1,KLRK1,MICB,ULBP3,HCST,ULBP2,CD226,NCR1,NCR3,MICA,LILRB1
ULBP2	ULBP2	ULBP2,KLRK1,MICB,ULBP3,ULBP1,HCST,MICA,KLRD1,CD226,LILRB1,NCR3
ULBP3	ULBP3	ULBP3,KLRK1,ULBP1,HCST,ULBP2,CD226,NCR3,LILRB1,PVR,B2M,CCR8
ULK1	ULK1	ULK1,BECN1,RB1CC1,PIK3C3,ATG14,MTOR,NRBF2,ATG101,ATG13,GABARAPL2,ULK2
ULK2	ULK2	ULK2,RB1CC1,ATG101,ATG13,BECN1,ULK1,PIK3C3,PIK3R4,ATG2B,ATG2A,MTOR
ULK3	ULK3	ULK3,SUFU,IST1,GLI2,GLI1,ATG5,GLI3,ATG3,ATG12,ATG13,PIK3C3
ULK4	ULK4	ULK4,SUFU,TRAK1,CSPP1,CHRFAM7A,STK36,KIF27,SQSTM1,PLEKHA7,HAUS8,IQCA1
UMOD	UMOD	UMOD,AQP2,PKHD1,IL1B,ALB,HNF1B,SLC12A1,SPP1,B4GALNT2,IL2,MUC1
UMODL1	UMODL1	UMODL1,LIPI,UBASH3A,AXDND1,HSF2BP,FAM13C,KRTAP10-10,PRMT2,TMPRSS3,UNCX,TFF3
UMPS	UMPS	UMPS,DPYD,DHODH,UPP2,UPP1,TYMP,UCKL1,UCK1,UCK2,PRPS1L1,GOLT1B
UNC119	UNC119	UNC119,ARL3,ARL2,NPHP3,C5orf30,PDE6D,PPIE,PITPNM3,IL5RA,UNC119B,LCK
UNC119B	UNC119B	UNC119B,ARL3,NPHP3,CYS1,PSKH2,UNC119,GNAT1,PDE6D,RNF34,ARL2,CCDC71
UNC13A	UNC13A	UNC13A,CALM3,RIMS2,RIMS1,CALM2,CALM1,CALML5,CALML3,UNC13C,CALML4,CALML6
UNC13B	UNC13B	UNC13B,RIMS1,ERC1,STXBP1,RIMS2,CALM3,CALML3,SNAP25,CALML5,CALML6,CALML4
UNC13C	UNC13C	UNC13C,RIMS2,UNC13A,UNC13B,STXBP1,RIMS1,COL4A1,SNAP25,RAB34,RIMBP2,SYT1
UNC13D	UNC13D	UNC13D,RAB27A,STX11,STXBP2,PRF1,RAB27B,STX19,FHL2,LYST,S100A10,AP3B1
UNC45A	UNC45A	UNC45A,HSP90AA1,AHSA1,HSP90AB1,CSNK1A1,FAM83H,CSE1L,MYO1C,MYO1E,MAX,USP1
UNC45B	UNC45B	UNC45B,HSP90AA1,HSP90AB1,MYH1,AHSA1,UBE4A,UBE4B,SMYD1,TTN,HSPA4,CSRP3
UNC50	UNC50	UNC50,RIC3,GOSR1,TMX3,TM9SF2,NIF3L1,TMEM165,PTAR1,INPP4A,TM2D1,SYVN1
UNC5A	UNC5A	UNC5A,NTN1,ADGRL1,ADGRL3,ADGRL2,DCC,SRC,PTK2,NTN4,PTPN11,FLRT1
UNC5B	UNC5B	UNC5B,NTN1,NEO1,DCC,FLRT3,PTK2,NTN4,PTPN11,SRC,AGAP2,DAPK1
UNC5C	UNC5C	UNC5C,NTN1,ADGRL3,ADGRL1,ADGRL2,DCC,SRC,PTK2,PTPN11,FLRT2,NEO1
UNC5CL	UNC5CL	UNC5CL,ADGRL2,ADGRL1,ADGRL3,LRFN2,NUMBL,PLCE1,OR6K6,DEFB121,ZBTB20,PIDD1
UNC5D	UNC5D	UNC5D,ADGRL3,NTN1,FLRT2,ADGRL2,ADGRL1,DCC,SRC,PTK2,PTPN11,FLRT3
UNC79	UNC79	UNC79,UNC80,NALCN,FAM155A,CALM3,CALM2,C2CD4A,RIMS2,CEACAM4,UNC119,SCN1A
UNC80	UNC80	UNC80,NALCN,UNC79,FAM155A,CALM3,CALM2,TACR1,NTS,TAC1,C2CD4A,TIMMDC1
UNC93A	UNC93A	UNC93A,MFSD9,SVOPL,SVOP,MFSD10,BRCA1,MFSD5,MFSD13A,MFSD6,MFSD6L,MFSD14A
UNC93B1	UNC93B1	UNC93B1,TLR3,TLR9,CNPY3,MYD88,IFNB1,SDCBP2,TBK1,HSP90B1,IFNL1,SDCBP
UNCX	UNCX	UNCX,MESP2,PAX1,UMOD,SYPL2,RIPPLY2,TBX18,TBX6,LFNG,MSGN1,IGFBP5
UNG	UNG	UNG,RPA2,DCAF1,APEX1,SMUG1,DDB1,LIG1,AICDA,TDG,REV1,XRCC1
UNK	UNK	UNK,HLA-C,HLA-E,UBE2B,HLA-G,IL15,KIR2DL3,PRCC,NCAM1,PGF,UBE2C
UNKL	UNKL	UNKL,LMO1,FAM171A1,KHNYN,CAMKK1,ADGRA3,DUSP7,CERK,SMTN,CBFA2T2,PREPL
UPB1	UPB1	UPB1,DPYS,DPYD,ABAT,ALDH7A1,ALDH9A1,AGXT2,CNDP2,CNDP1,ALDH2,ALDH3A1
UPF1	UPF1	UPF1,CASC3,RBM8A,SMG5,SMG7,SMG6,UPF3A,EIF4A3,UPF2,SMG1,RNPS1
UPF2	UPF2	UPF2,UPF3A,RBM8A,RNPS1,UPF1,SMG1,SRRM1,CASC3,EIF4A3,SMG8,MAGOH
UPF3A	UPF3A	UPF3A,MAGOH,SMG5,RBM8A,EIF4A3,CASC3,UPF1,NXF1,RNPS1,UPF2,SRRM1
UPK1A	UPK1A	UPK1A,UPK3A,UPK2,UPK1B,UPK3B,CD53,CD37,CD63,KRT20,SFTPD,TSPAN31
UPK1B	UPK1B	UPK1B,UPK2,UPK3A,UPK3B,UPK1A,CD53,CD37,ANXA10,GPM6A,KRT20,PTGFRN
UPK2	UPK2	UPK2,UPK3A,UPK1B,UPK1A,UPK3B,KRT20,C17orf97,KRT5,GATA3,KRT7,FOXR1
UPK3A	UPK3A	UPK3A,UPK1A,UPK2,UPK1B,KRT20,CD151,CD53,C17orf97,CD37,KRT7,KRT5
UPK3B	UPK3B	UPK3B,UPK1B,UPK1A,UPK2,LRRN4,MSLN,PMS2,PMS1,FANCI,FANCD2,ATP23
UPK3BL1	UPK3BL1	UPK3BL1,POLR2L,POLR2I,POLR2K,POLR2F,POLR2G,POLR2E,POLR2D,POLR2H,SUPT4H1,MED7
UPP1	UPP1	UPP1,TYMP,CDA,PNP,DPYD,UMPS,NT5E,UCKL1,UCK1,UCK2,TK2
UPP2	UPP2	UPP2,TYMP,CDA,PNP,DPYD,UMPS,UCKL1,UCK1,NT5E,UCK2,TK2
UQCC1	UQCC1	UQCC1,UQCC2,GDF5,LYRM7,BCS1L,UQCC3,UQCRB,COX20,TTC19,UQCRQ,UQCRC2
UQCC2	UQCC2	UQCC2,UQCC1,COX20,UQCC3,TTC19,TM2D2,MFN1,LYRM7,C16orf91,MFN2,UQCR11
UQCC3	UQCC3	UQCC3,LYRM7,UQCC1,UQCC2,TTC19,BCS1L,CHCHD1,UQCRC2,C11orf49,UQCRB,CYC1
UQCR10	UQCR10	UQCR10,UQCRH,NDUFA8,COX6B1,NDUFA2,UQCR11,COX7C,NDUFA11,CYC1,UQCRC2,COX5B
UQCR11	UQCR11	UQCR11,CYC1,UQCRC2,UQCRQ,COX5B,UQCRFS1,UQCRH,UQCRC1,UQCRB,UQCR10,COX7A1
UQCRB	UQCRB	UQCRB,UQCRQ,COX5A,NDUFV2,NDUFA6,NDUFA5,UQCRC1,NDUFA12,COX5B,NDUFV1,UQCRFS1
UQCRC1	UQCRC1	UQCRC1,UQCR10,NDUFS5,NDUFS2,UQCR11,UQCRH,UQCRFS1,NDUFV1,COX5B,UQCRC2,CYC1
UQCRC2	UQCRC2	UQCRC2,UQCRFS1,COX5B,CYC1,COX4I1,COX7C,UQCR10,UQCR11,UQCRH,UQCRQ,COX5A
UQCRFS1	UQCRFS1	UQCRFS1,NDUFS1,NDUFV2,COX5A,UQCRQ,NDUFA13,NDUFA12,UQCRC1,UQCRB,NDUFA6,NDUFS6
UQCRH	UQCRH	UQCRH,UQCRFS1,UQCRC2,CYC1,UQCR11,UQCR10,UQCRQ,NDUFA5,UQCRC1,UQCRB,COX5B
UQCRHL	UQCRHL	UQCRHL,UQCRQ,UQCRB,UQCR10,UQCR11,UQCRC2,UQCRC1,NDUFA5,CYC1,UQCRFS1,COX5B
UQCRQ	UQCRQ	UQCRQ,UQCRC2,CYC1,COX4I1,NDUFB7,COX5B,UQCRFS1,UQCRH,UQCR10,UQCR11,COX6B1
URAD	URAD	URAD,ACOX2,ABCG8,UPP1,RXFP4,ABCB4,TGM5,AADACL3,ABCG5,DEFB124,ADAMTS20
URB1	URB1	URB1,PDCD11,UTP20,HEATR1,POLR1A,NAT10,URB2,WDR36,NOL8,TBL3,UTP4
URB2	URB2	URB2,URB1,DDX31,NOL8,MARS2,POLR1B,GEMIN4,TAF1B,WDR1,PPRC1,UTP15
URGCP	URGCP	URGCP,MINDY3,UBE2D4,HECTD1,RIPK1,VWCE,C7orf26,PBXIP1,CARD8,DNAJC7,NUDCD3
URGCP-MRPS24	URGCP-MRPS24	URGCP-MRPS24,CCDC117,AP4E1,GGPS1,ARID4B,NCAPH,HAUS3,PSMA2,BLVRA
URI1	URI1	URI1,POLR2E,PFDN2,RUVBL1,PFDN6,RUVBL2,RPAP3,PDRG1,PPP1CC,WDR92,PIH1D1
URM1	URM1	URM1,CTU1,MOCS3,CTU2,NFS1,MPST,ELP3,UFM1,TRMT112,ELP4,GABARAPL2
UROC1	UROC1	UROC1,HAL,AMDHD1,FTCD,SLC22A10,GOLGA8M,TXNRD3,HGD,GRIP2,AGXT,CHCHD4
UROD	UROD	UROD,CPOX,PPOX,UROS,HMBS,ALAD,FECH,HFE,ALAS1,MOCS1,TFRC
UROS	UROS	UROS,HMBS,UROD,ALAD,BCCIP,CPOX,FECH,PPOX,DHX32,ENDOV,ALAS1
USB1	USB1	USB1,PRPF19,RECQL4,SNW1,PLRG1,CDC5L,GPATCH1,XAB2,PPIE,ISY1,DHX35
USE1	USE1	USE1,STX18,SEC22B,BNIP1,RINT1,ZW10,NBAS,NAPA,STX5,YKT6,STX7
USF1	USF1	USF1,USF2,GTF2I,EP300,SP1,FOSL1,SMARCD3,TAF7,MED1,ESR1,RFX5
USF2	USF2	USF2,USF1,EP300,SP1,MED1,BRCA1,ADAMTS12,FASN,CDC5L,RFX5,MYC
USF3	USF3	USF3,ASTE1,ANKAR,ADNP2,ZNF236,CCDC150,CAPN12,TCF20,TMEM244,MRPL34,SEC23B
USH1C	USH1C	USH1C,MYO7A,CDH23,USH1G,ANKS4B,PCDH15,ADGRV1,USH2A,MYO7B,WHRN,USHBP1
USH1G	USH1G	USH1G,USH1C,MYO7A,WHRN,CDH23,PCDH15,PDZD7,ADGRV1,USH2A,MYO15A,CLRN1
USH2A	USH2A	USH2A,WHRN,ADGRV1,PDZD7,USH1C,CDH23,MYO7A,RNF139,PCDH15,USH1G,LCA5
USHBP1	USHBP1	USHBP1,MCCC2,USH1C,BTD,MMRN2,MCCC1,SERTAD3,ZMAT4,GMCL1,ZBTB25,ADGRF5
USO1	USO1	USO1,STX5,GOLGA2,GOSR2,GOLGB1,GOSR1,GORASP1,RAB1A,BET1L,BET1,SCFD1
USP1	USP1	USP1,WDR48,FANCD2,FANCI,UBC,FANCL,UBA52,RPS27A,UBB,RAD51AP1,PCNA
USP10	USP10	USP10,G3BP1,G3BP2,CFTR,TP53,SH3BP5,CAPRIN1,USP13,SNX3,UBC,PABPC1
USP12	USP12	USP12,WDR48,WDR20,UBC,PHLPP1,UBA52,PHLPP2,UBB,RPS27A,DMWD,USP46
USP13	USP13	USP13,SIAH2,UFD1,PTEN,BECN1,USP10,UBC,USP25,AMFR,SKP2,USP22
USP14	USP14	USP14,PSMD1,PSMD14,PSMC1,PSMC6,PSMD7,PSMD12,PSMD13,PSMD2,PSMD6,UCHL5
USP15	USP15	USP15,SART3,UBC,SMURF2,SMAD7,USP4,UBB,UBA52,TGFBR1,SMAD2,UBE2S
USP16	USP16	USP16,UBC,HERC2,FGD6,CDK1,MYSM1,SLC7A5,ASNS,TRIB3,USP21,SLC3A2
USP17L2	USP17L2	USP17L2,RCE1,SUDS3,SNAI1,USP17L25,CDC25A,CDK4,LGMN,CDK6,USP13,MCL1
USP17L24	USP17L24	USP17L24,USP17L25,USP17L26,MINDY2,PAN2,MINDY4,USP54,MPND,USP53,OTUD6B,OTUD7A
USP17L25	USP17L25	USP17L25,USP17L24,USP17L26,RCE1,USP17L2,SUDS3,DDX58,CDC25A,IFIH1,USP25,USP13
USP17L26	USP17L26	USP17L26,USP17L25,USP17L24,MINDY2,PAN2,MINDY4,USP54,USP53,MPND,OTUD6B,OTUD7A
USP17L27	USP17L27	USP17L27,USP17L30,USP17L29,USP17L28,PAN2,MINDY2,MINDY4,USP54,USP53,MPND,OTUD6B
USP17L28	USP17L28	USP17L28,USP17L30,USP17L27,USP17L29,PAN2,MINDY2,MINDY4,USP54,USP53,MPND,OTUD6B
USP17L29	USP17L29	USP17L29,USP17L28,USP17L27,USP17L30,PAN2,MINDY2,MINDY4,USP54,USP53,MPND,OTUD6B
USP17L30	USP17L30	USP17L30,USP17L27,USP17L28,USP17L29,PAN2,MINDY2,MINDY4,USP54,USP53,MPND,OTUD6B
USP17L5	USP17L5	USP17L5,RCE1,SUDS3,DDX58,CDC25A,IFIH1,USP17L25,USP17L2,ZNF514,OR52H1,THAP4
USP18	USP18	USP18,ISG15,IFNAR2,OAS1,MX1,STAT2,HERC5,RSAD2,IFIT1,DDX58,IFI44
USP19	USP19	USP19,RNF123,SIAH1,HSP90AA1,BIRC3,HIF1A,USP13,BIRC2,HSP90AB1,FKBP6,IP6K1
USP2	USP2	USP2,UBC,UBB,RPS27A,UBA52,MDM2,MDM4,USP28,USP14,RIPK1,TRAF2
USP20	USP20	USP20,ADRB2,USP18,HERC2,TRAF6,VHL,CLSPN,USP28,VAPB,UBC,CBX7
USP21	USP21	USP21,UBC,RIPK1,UBB,RPS27A,UBA52,GATA3,IL33,DDX58,NANOG,MARK3
USP22	USP22	USP22,ENY2,ATXN7,ATXN7L3,TRRAP,SGF29,KAT2A,TAF10,TADA3,SUPT3H,TADA2A
USP24	USP24	USP24,DDB2,CDCP2,HIVEP3,ELAVL4,EIF2B3,TP53,USP13,WWP2,MAP3K7,USP5
USP25	USP25	USP25,DDX58,UBC,SUMO2,SUMO1,USP13,RAD23B,TNKS2,SYK,USP5,SUMO3
USP28	USP28	USP28,TP53BP1,UBC,MYC,FBXW7,UBA52,RPS27A,UBB,CLSPN,CHEK2,USP8
USP29	USP29	USP29,ZIM3,ZIM2,CLSPN,USP7,USP28,USP5,SNAI1,USP49,HIF1A,USP13
USP3	USP3	USP3,UBC,TRRAP,RPS27A,TAF10,DDX58,UBA52,TADA3,TP53BP1,IFIH1,KAT2A
USP30	USP30	USP30,RPS27A,UBC,UBA52,UBB,TOMM20,FIS1,USP1,MUL1,PINK1,TOMM70
USP31	USP31	USP31,MRPS12,PTPRQ,ARHGEF33,FBXO21,RBBP6,USP30,CDH23,ANO9,MRPS9,MRPL21
USP32	USP32	USP32,TBC1D3,TBC1D3B,APPBP2,USP28,USP14,USP25,C17orf64,MYSM1,USP48,ATXN3
USP33	USP33	USP33,VHL,ARRB2,ADRB2,FAM8A1,ROBO1,CCP110,SYVN1,OS9,ELOB,ARRB1
USP34	USP34	USP34,UBC,UBA52,RPS27A,UBB,ASH1L,MKLN1,TRIP12,SMG1,SETD2,UBR5
USP35	USP35	USP35,HERC2,RPS27A,USP30,WDR48,UBA52,UBC,AURKB,MAVS,TNIP2,USP39
USP36	USP36	USP36,DHX33,MYC,USP28,NPM1,FBL,USP25,USP30,USP13,JOSD1,FBXW7
USP37	USP37	USP37,BTRC,PSMC5,RUVBL1,CCNA2,FBXW11,FZR1,UBC,SNAI1,CDT1,CCNA1
USP38	USP38	USP38,DTX4,WDR48,RPS27A,UBA52,UBC,ADAR,TBK1,USP39,PAN2,USP13
USP39	USP39	USP39,SNRNP27,DDX23,PRPF3,EFTUD2,PRPF31,PRPF8,LSM4,SNRPD2,LSM2,LSM8
USP4	USP4	USP4,SART3,TRAF6,TRIM21,RBBP8,USP15,TGFBR1,UBC,PRPF3,TRAF2,MAP3K7
USP40	USP40	USP40,UBA52,USP5,USP13,USP25,HID1,USP39,UBC,VCPIP1,GMEB1,USP3
USP42	USP42	USP42,TP53,USP24,USP28,USP13,MDM2,DHX9,USP5,USP10,OTUB1,RSPO1
USP43	USP43	USP43,YWHAB,PAN2,POLD1,USP10,ISG15,USP54,UBC,POLI,UBB,POLH
USP44	USP44	USP44,CDC20,TBL1XR1,ZNF501,ZNF569,ZNF436,ZNF629,ZNF763,ZNF44,NCOR1,NCOR2
USP45	USP45	USP45,ERCC1,PNISR,USP39,UBC,FAXC,OTUD6B,DCAF17,OTUB1,USP13,COQ3
USP46	USP46	USP46,WDR48,WDR20,UBB,UBA52,PHLPP2,UBC,PHLPP1,DMWD,RPS27A,RAD51AP1
USP47	USP47	USP47,POLB,BTRC,FBXW11,USP50,TRIP12,RAB3GAP1,RPS2,WDR48,AP4M1,PLAA
USP48	USP48	USP48,TRAF2,UBA6,NUP188,USP5,UCHL3,USP13,UBC,RNF123,UBAC1,GLI1
USP49	USP49	USP49,ALPP,HAUS2,FKBP5,BYSL,RPS27A,UBA52,RAX2,ZNF223,ZNF786,MED20
USP5	USP5	USP5,UBC,RPS27A,UBB,UBA52,CACNA1H,USP14,USP7,UCHL5,ZNF629,USP25
USP50	USP50	USP50,HSP90AB1,HSP90AA1,PAN2,USP47,ZNF354A,USP7,FRG2C,USP54,USPL1,USP25
USP53	USP53	USP53,TJP2,CRK,USP50,PAN2,AZGP1,USP48,USP39,USPL1,USP45,USP13
USP54	USP54	USP54,PAN2,USP50,USP39,USP43,PLK4,C1orf74,USP33,USP38,USP8,USP13
USP6	USP6	USP6,CDC16,TSC2,TSC1,TBC1D7,TBC1D20,USP14,QTRT1,MYH9,CDC42,TBC1D24
USP6NL	USP6NL	USP6NL,EPS8,RAB43,RAB5A,TRH,SOS1,RAB11A,GRB2,ABI1,ACTN4,ECHDC3
USP7	USP7	USP7,DAXX,UVSSA,DNMT1,TP53,MDM2,UHRF1,GMPS,UBC,UBA52,RNF169
USP8	USP8	USP8,RNF41,UBC,EGFR,STAM2,YWHAZ,UBB,OTUB1,RPS27A,UBA52,PRKN
USPL1	USPL1	USPL1,SUMO2,DESI1,DESI2,COIL,SENP5,SUMO1,SUMO3,SENP1,SENP3,SENP7
UST	UST	UST,HS3ST1,NDST1,NDST2,DSE,GLCE,EXT1,NDST3,EXT2,HS3ST3B1,HS3ST4
UTF1	UTF1	UTF1,NANOG,POU5F1,DPPA3,SALL4,SOX2,LIN28A,ESRRB,TBP,DPPA4,ZFP42
UTP11	UTP11	UTP11,UTP3,FCF1,UTP18,WDR46,KRR1,NGDN,UTP20,WDR36,DNTTIP2,MPHOSPH10
UTP14C	UTP14C	UTP14C,NOP14,UTP3,MPHOSPH10,NOL10,UTP18,WDR3,WDR46,WDR36,UTP4,UTP6
UTP15	UTP15	UTP15,WDR36,TBL3,BMS1,SNU13,RRP9,UTP18,WDR3,MPHOSPH10,WDR43,UTP4
UTP18	UTP18	UTP18,HEATR1,UTP4,UTP15,WDR75,NOP56,UTP6,NGDN,WDR46,KRR1,BYSL
UTP20	UTP20	UTP20,WDR46,KRR1,NOC4L,NOP58,UTP4,HEATR1,WDR75,NOP14,WDR3,NAT10
UTP23	UTP23	UTP23,KRR1,WDR43,UTP11,NGDN,IMP3,DDX52,UTP3,IMP4,WDR46,RRS1
UTP3	UTP3	UTP3,NOC4L,NOP58,IMP3,NGDN,WDR46,KRR1,BYSL,UTP6,UTP4,MPHOSPH10
UTP4	UTP4	UTP4,NOP56,DCAF13,UTP6,UTP15,WDR75,HEATR1,NOP58,NOC4L,NOL11,KRR1
UTP6	UTP6	UTP6,BYSL,KRR1,WDR46,NGDN,WDR75,UTP15,UTP4,HEATR1,IMP4,WDR3
UTRN	UTRN	UTRN,DAG1,SNTB2,SNTB1,SSPN,SNTA1,SGCA,DTNA,ACTA1,SNTG2,SGCB
UTS2	UTS2	UTS2,UTS2R,UTS2B,EDN1,UCN,SST,AGT,SSTR4,MCHR2,CRH,HSPA5
UTS2B	UTS2B	UTS2B,UTS2R,UTS2,CCKAR,CYSLTR2,CCKBR,AGTR1,F2RL3,PROKR2,CCK,NPSR1
UTS2R	UTS2R	UTS2R,UTS2,UTS2B,GALR3,EDN1,COX6A2,AGT,PMCH,NTS,GRIP2,EDN3
UVRAG	UVRAG	UVRAG,RUBCN,BECN1,PIK3R4,PIK3C3,ATG14,SH3GLB1,AMBRA1,BECN2,BCL2,VPS16
UVSSA	UVSSA	UVSSA,USP7,ERCC8,ERCC6,GTF2H1,DDB1,CUL4A,POLR2A,RBX1,ERCC3,WDR61
UXS1	UXS1	UXS1,UGDH,FAU,RPS6,GMPPB,GMDS,B3GAT3,XYLT1,FAM20B,GALE,TGDS
VAC14	VAC14	VAC14,FIG4,PIKFYVE,WIPI1,RAD54L,FSBP,RAD54B,APP,PIK3C3,NAAA,MAP1LC3A
VAMP1	VAMP1	VAMP1,STX1A,SNAP25,SNAP23,STX1B,STX4,STX3,STX2,VAMP2,CPLX3,STX6
VAMP2	VAMP2	VAMP2,SNAP23,STX1A,SNAP25,STX2,STX4,SYT1,CPLX1,STX3,STX1B,STX6
VAMP3	VAMP3	VAMP3,SNAP23,STX6,STX1A,SNAP25,STX4,STX3,VTI1A,STX16,STX1B,STX2
VAMP4	VAMP4	VAMP4,STX6,STX12,VTI1A,STX16,VTI1B,STX5,STX10,STX4,SNAP23,STX3
VAMP5	VAMP5	VAMP5,GOSR1,SNAP23,STX4,STX16,SNAP29,STX8,YKT6,NAPA,VAMP8,STX5
VAMP8	VAMP8	VAMP8,STX7,SNAP23,STX6,STX4,SNAP29,STX3,VTI1B,STX17,STX8,STX12
VANGL1	VANGL1	VANGL1,DVL1,DVL2,PRICKLE2,PRICKLE1,DVL3,PRICKLE4,VANGL2,CELSR1,SCRIB,FZD6
VANGL2	VANGL2	VANGL2,DVL1,PRICKLE1,PRICKLE2,SCRIB,PRICKLE4,DVL2,DVL3,CELSR1,WNT5A,FZD6
